# gunzip -c align/36/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:13:42 KST 2018
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.2,54) frames.
Overall, P_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,13) frames.
Overall, P_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,11) frames.
Overall, AH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,10) frames.
Overall, D_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,5) frames.
Overall, ER0_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,5) frames.
Overall, EY1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.5,25) frames.
Overall, F_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,10) frames.
Overall, IH0_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,4) frames.
Overall, IY1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,14) frames.
Overall, SH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,12) frames.
Overall, TH_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,12) frames.
Overall, UH1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,6) frames.
Overall, B_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.7,6) frames.
Overall, G_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,8) frames.
Overall, M_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,8) frames.
The optional-silence phone sil occupies 31.6% of frames overall 
Limiting the stats to the 93.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 27.0% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 4.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (39,65.7,177)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Jan 20 14:13:42 KST 2018, elapsed time 0 seconds
