# gunzip -c align/1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py prep_out/lang 
# Started at Sat Jan 20 14:12:49 KST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 0.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 9.090909090909092% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.0,35) frames.
Overall, B_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.7,21) frames.
Overall, N_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.4,13) frames.
Overall, R_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,5) frames.
Overall, S_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,12.9,36) frames.
Overall, S_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,14.4,33) frames.
Overall, AO1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,13.4,34) frames.
Overall, P_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (18,26.0,71) frames.
Overall, AY1_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,42.5,93) frames.
Overall, IH1_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.7,10) frames.
Overall, NG_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,12.0,23) frames.
Overall, AH0_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, OW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, R_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,8) frames.
Overall, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.2,17) frames.
Overall, AH1_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,4) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.4,8) frames.
Overall, V_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.1,12) frames.
Overall, EY1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.3,9) frames.
Overall, K_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,17.7,39) frames.
Overall, OW1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,15) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,21.1,37) frames.
Overall, P_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.2,27) frames.
Overall, D_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.2,16) frames.
Overall, EY1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, F_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,7) frames.
Overall, IY1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,15) frames.
Overall, SH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,14) frames.
Overall, TH_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,35.5,100) frames.
Overall, UH1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,19.9,43) frames.
Overall, AH0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,5) frames.
Overall, AH1_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.4,7) frames.
Overall, B_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.3,11) frames.
Overall, G_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,44.9,48) frames.
Overall, M_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,10) frames.
The optional-silence phone sil occupies 1.8% of frames overall 
Limiting the stats to the 97.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.5% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.2% of utterance-internal phones, with duration (median, mean, 95-percentile) = (46,103.5,46)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Jan 20 14:12:49 KST 2018, elapsed time 0 seconds
